the stack overflow podcast|the reason
another podcast|week in tech
int|a primitive type
integer|a class type
type|a primitive type
realise|language
the ni forums|a great place
blocked/disabled|javascript
non-virtual|calls
mapstraction|a library
shift-tab|a bad option
data|the same every time
the wildcard in full-text|the *
the|the wildcard character in sql server
instant rails|a good way
another option|vmware fusion
valid markup|one way
javascript|another helpful tool
activex|a little application
allways|the command
the columns|a datetime field
up-to-date|sure the repository
the potential|the db
a hillarious video podcast with kevin rose|diggnation
a basic paper version|the way
the scenario|a web server
updated/deleted|a record
redistributables|part
the amount of data vs. reporting|a concern
databound|the component
version control|a good
svn|such a pain
a 32|the current system
a pile of crap|the web
a list of users|access
design pattern|good practices
a tool|only available a specific way
the view|slave
the icon|a different size
source control|a massive undo button
kinda|touching foxpro
an application|a subtle business
datagrid|an asp.net 1.1 control
classes|a great exercise
speed|a huge priority
codebase|solid the best way
object mocking|a way
a bll|the dll
separation of concerns|a key design technique
the gui-building interface|a simple drag
another one|checkstyle
code|best practice
table|a hell
attachment support|a requirement
an etag|an arbitrary string
a succes|hackery
tuples|a quick flexible way
lists|containers
removal media|all possible methods of transfer
link|both extension method libraries
both libraries|places
windows support|decent days
the singleton pattern|a design pattern
sha1|typical hash algorithms
vpnip|vpn ip address
programming|the liberation mono font
consolas|a cleartype font
typing|a good test of suitability
domain spmosssvc '|the moss farm account
mother type|affirmation
input|a remnant
button|an on/off switch
;]|a greedy quantifier
configurable|vim
the second slash|placed options
a simple ftp bot|post-commit hook
the port|a bit
a whopping 14k|menu
a blob|variable length
convinced obfuscation|a big hack
beautifulsoup|a great way
htmlparser|useful tools
sgmllib.sgmlparser|part
a 2 column layout|a little bit
jruby|an option
todo|browse/edit tables
the user|an administrator
the user|an administrator
dead-on|zombiesheep
semantics|main concern
datacontext|four main points of blog post
side|the right way
myisam . . .|the vendor table
the longest phase of software development|maintenance
1 file|heaven
background|the best example
a subclass|myclassmock
a bug|a defect
all in-line|things
a change request|a different beast
overload|a function
the comment|a * nix-style command
1 file|heaven
worst nightmare|pages
css|a double-edged sword
definition|the apps hungarian notation
an interesting footnote|hungarian notation
an object|a string
the clunkier syntax|an accidental complexity
a uniqueidentifier|only unique data
non-sequential|guids
merge-replicated across|database
index|a hit
identity|a sequential number generator
pks|the fact
best bet|a good text editor
selectedyear|type
waaaay|experience vmware
var|the type of selectedyear
the only pre-condition|a mention
tuples|both containers
teecharts|another good option
pointers|a concept
xcode|a suite of tools
unique across|certain columns
random.org|a true random number service
a level|a meaningless
the symbol class|an instance
the subarrays|two children
b|bigintegers in java
a guid|a bad idea
diffing|a problem
openid|a great idea
a form|an object
properties|behavior
rails migrations|a nifty way
step 4|the heart
ambiguous|the note
an asp.net app|the app
the app|a client application
ps|the right way
user-id|a specific user 's id with long-running processes
solution|a style issue
performance|a touchy topic
a file|a seperate one
key|250 characters
1 megabyte|the maximum value
the queue|a great idea
main|some place
a database|a great option unless
a doozy|previous post
dct|a transformation
current solution|manual copying
basic steps|a key skill
memory|a bit
development|a real help
autoreleased|object
nilobject 's answer|a good start
the time|the change
the daily standup meeting|a great way
index|a string
index|a number
the file|an icon
way extensible|the design
the developer guide|a pretty good bargain
the maximum|66
statically-bound|the method
index|a string
good programmers program|a good
master pages|code inheritance
16x16|preferred size on in-application buttons
format|the way
the bane of ui|interfaces
caching|the workspace
the wowwiki howto list|a good point
wowace|a popular one
the hour fields|a 24 hour clock
all months|30 days
ultramon|a great program
optimization|a horrible idea
nvidia 's fx composer|a great tool
main monitor|a wide screen
code|a great feature
erlang|mature ones
dynamic initialization|all initialization
a non-issue|synchronization
least correct|the middle one
asmx|a technology
a quick an dirty one-off|application
over-exaggerated|curve
implementation of sqlite|a mixed-mode assembly
a classloader|emma
key present|a duplicate key
guess|performance
a good reference--search|advanced bash scripting guide 's chapter on io redirection
unecessary|0xff
the buttons|good user interface design
thread-safe|instance property
okay|the microsoft script debugger
legacy|code
pieces of paper with house addresses|both great learning tools
composition|a vital piece
the sieve of eratosthenes|a decent algorithm
good tests|a professional courtesy
silverlight|the answer
the types|specific enumerations
an ienumerable|first example apps
a found bug|an indication
the vendor project|a standalone project
a google search|thread
transactions|a issue
the queuing solution|the way
the nicest part|the ability
problem|a python cgi script
the fact|a total hack
bea costa 's blog|wpf data binding
a major no-no|a scrollbar
windows|a good introduction
php5|a reference
2tb|chump change
gtk|cross platform
wxwidgets|a cross-platform gui framework with source
an std::string|examplestring
http basic auth over ssl|the simpler approach
vote|two parameters
memory corruption|a sucky place
the cell location|an attached property
both infrastructural|stuff
subject|some good examples
package tree|domain name
the native pcre interface|a bit
multithreaded|program
amazon s3|a good model
the >> operator in c|a logical shift
the >> operator|an arithmetic shift
implementation-dependent|results
vb.net|case
a projet|a popup window
the target|a directory
tables|a collection
the main process|a gui process
a table|a group of records
ambiguous|the column name
consistent across|pick
geotools|a large library
a nice litt app|dtctest
link linq|several different things
project|the game snakes
visual csharp developers by francesco balena|a great book
address|a bit non-normalized in case
the script explorer|a quicker way
validation|a good litmus test of
modebased|vi
recovery|the default
recovery|the default
recovery|the default
the technology of choice|csharp windows service
recovery with standby|the ability
likely a typo|e g.
a good intro from scott guthrie|a nice set of 101 linq samples
paramteter 's|the fact
the second book|a whole lot
an or/m|provider
csharp in depth by jon skeet|an excellent programmers ' guide
jdbc calls|common usages
consistent regardless|application code
linq|the way
xul|a nice choice
printing|a complex problem
the master|the new slave
the performance guy at msft|rico mariani
a beta :)|good job
the nullpointerexception|an exception
standardly|exceptions
update|an early warning
build|good practice
lua|excellent languages
service|a bad idea
davex.dll|the legacy webdav component
a keyword in csharp|class
a photoshop plugin|favorite method
failures|disk failures
post-commit scripts|the way
the generic views|the way
logic|bad practice
the latter option|unacceptable use of exceptions
a non-issue|the most part
refactoring|the best features of ides
the point of fail|the captcha
an interface|a clean contract
refactor|the better ones
test|a test of csharp 3
the class|a form
dead/gone|the server
the wikipedia article on revision control|a great place
end|a great way
only reason|the lack of cplusplus talent
framework|all source
perl|an obvious option
the subversion documentation|a good place
diff-based|the whole system
the hardest|bastard crashes
anonymous ftp|a bit
tree|a key value pair
labeled|the version
an ids|a cheap way
a button|a window
the timer|an option
a good overview|closures in ruby
available online|the entire book
sql|the quick-and-easy way
the all-out|entity framework
the asp.net mvc framework|an alternative
paralled|the system
keyword|a bit
dependenttransaction in system.transactions|a lightweight way
rpc-based|java-based libraries
the database|a better solution
node|a logical grouping
java|the language
the bad two-thread performance|an artefact
repeatable across various bog-standard apis|the behaviour
two-thread performance|repeatable across windows 2000
mediainfo|read-only at point
jquery|the way i
ryan ahearn 's suggestion|a decent one
the amount of xml|a good
jungle disk|one such piece of software
a little mis-leading|question
read-only|repository
the regex|a bit
csharp|static classes
a big plus|the lines of code
a simple|the job
mootools|another great javascript framework
wap|question
a valid status transition|the change
wse2|complex beast
personal feature|asynchronous delegates
a little amount of effort|a good way
useful and/or|a storage type prefix
the subselect table t|case
the vs window|non-maximized
svg|a good choice
valid another process/thread|window
shebang-scripts sbcl|both top rate
the actual value|a system
an alias|string
a location|the same size
google|an example
policy|the cause
month|a monday
month|a tuesday
wmode=transparent|the way
cached|the config items
a series of applications|performance
oracle express|a commercial reaction
full color|a great help
matthew macdonald|a great reference book
a user group forum|a great way
a downside|the monthly subscription
wps|a way
low byte|the signal number
high byte|the exit status
powershell|part
random classes|a good start
the lowest-level api|the business connector
potential|all a junior
a pita|asp.net
the profiler|way
java|a bit
mutable . . .|strings in ruby
cmrepair|an excellent freeware utility
people|way
a millisecond|a long time
textmate|a great editor
the database|a bad idea
the office open xml format|the best way
members of type|thread
host|a c program
an example of|amarok music player
the keywords|message pumps
the keyboard|the interface
svnx|an open source client
the lack of apache 's mod_rewrite|iis
the pcre library|a set of functions
touchtyping|hanging out in irc channels
raid-10|the nas units
page output caching|saviour
remotingservice|asp.net instances
dday|a good free solution
the good support from teamcity|another reason
a hoot|hosts
favorites|an msdn magazine article
web application project|the way
web application projects|a lot
a unit|a functional part
database of choice|oracle
back|a bad
a method of testing verifies|unit testing
integration testing|the phase of software testing
java/ csharp|a method
word|an implementation detail
legacy mfc|the code
day cdatabase via odbc|the way
guess|the easiest option
a class library in cplusplus /cli|the answer
oledb|an option
winforms|a big step
faked/mocked|cases
the cloned object|a good copy
alot neater|file system structure
self-hosted web-based svn client market|such a small niche
the stack if|the case
755|the ideal permission
multiple tfs servers|a bad idea
tfs|a server
table aliases|a necessary evil
the only exception|ternary operators
the computer|a lot
nunit resharper|an absolute joy
objects|a child
a sql backend|case
the view|a table
function|cross platform
lists|arrays
system.linq namespace|collections
default event|load
sure controller|the text view 's delegate
link tns_admin|an environment variable points
a java api|itext
the parameters|the same type
documentation|scarce/code samples
problem|download size
atrocious|the code
the inner loop code|a reasonable length
templated swap|an exact match
kind of resource|a bit
a locator|an implementation
csharp|more java
port types|abstract collections of operations
a wiki|another good example of
xml literals vb|case
the apparent differences|syntactic sugar
perhaps|worries of tools
scrum|a methodology
non-trivial|loop
the s operator in perl|problem
the empty method|a preprocessor directive
a person|a damage
a person|a damage
database|a huge mess
bad mmkay|globals
serializable so|native types
controversial ' from google|singletons
vb.net|case
csharp|case
xp|the way
vault fogbugz|a pretty decent alternative
java|platform
default|above page
default|above page
time|part
gmt|a local time
the action|the same every time
100% ram 100% orchestrations|processers
the integration|probable the single biggest factor
a cross-platform|scons
qmake|a nice build system
certificate|a separate layer of complexity
documentation|several years
normal everyday dependencyproperty|header property
normal everyday dependencyproperty|headerproperty
code|java
most people|production data loss
the|favourite
post|one area
xml|the way
orignally|nini
the code base|a lot
a good compromise|xml
a dto|a simple object
the abstraction layer|the important
folder|template
read-only|collection
windirstat|a huge help in regard
backups|a snap
unmatched|a line
idisposable|a pattern
a finalizer|a method
the idisposable interface|part
team foundation server sp1 packages|traditional service
stored procedures|part
ksh|a superior programming shell because
an object|a form of reference
waegis|an online web service
spam|the content
instantiated|object
gonna get search ranking|site
a well-defined|atom
the leaf nodes|all numbers
the internal nodes|all operators
feel|a job requirement
locale-dependent|day
an x,y coordinate|click
context|a temperature
types|class
100%|a bit unrealistic a goal
css|a mechanism
a asp.net|of course
a pita because|silverlight
the higher bandwidth|the only problem
datatables|a good practice
the book producing open source software by karl fogel|a great book
the ctp|a script
the standard text|the dragon book
results from queries|lazy-loaded by default
flare|an actionscript library
caching|the shelf
datagrid|the way
stack overflow|a fantastic site already--i hope
the lock|a string of zeros
first website|a personal site with
one database|the ' master
code|the way
the web|a perfect example
web development|a black art of hacks
grouptoscheduleddays|the values
the site|a site
link|inspiration
structs|the actual value
boxing|the act
scalene|triangle
stackoverflow|current list
shows|a bit
link|a good place
a free e-book by marco cantu|essential delphi
structs|the actual value
the better aproach|the first strategy
first|the technical problem
the job|a ruby script
structs|value types
the stack|an implementation detail
localised|system
clr profiler from microsoft link|a great way
application|a financial package
comet|a fancy name
colored pencils|a way
a good 2 hour session|a lot of work
post-translation strings|a source
good developers|a bit
availability|considerations
paid|a lot of attention
a big cause of procrastination|projects
apache|a major pain
a branch|a place
the second aspect|an internal application
an url|part
day|actual hands on code
the replacement code|a stage
a proper subset of yazzleof|yazzle-lite
database-driven|site
the reactor|an object
varible|enumvalue
the lack of precision|the main flaw of gpt
fltk|a nice choice
labveiw|the future of programming
mvc|a whole new way
the easy bit|the wordpress part
one|the default kubrick theme
space-systems|a whole different ball game . . .
personal favorite|doekman 's suggestion
uploaded|the files
a must-have|ie dev toolbar
version control|a pain
parameters|a common use
closures|a common implementation mechanism
ie6|a great example
a public property|a breaking api change
qa-oriented developers|part
below|some sample code
the idea|the cat 's pyjamas
a bit buggy|e-texteditor
the result|a bunch
the biggest problem|changes
an older version of nvidia 's glext.h|the cause of error
the authorized plugins|the real deal
stage|a valid opengl context
the scroll wheel in freeglut|dead simple
article|a bit
unit testing|part
eval.c from ruby|the reference of course
total enigmas|vi-based editors
a no-no in usability|modes
humans|fickle mammals
a nightmare|tests
nunitlite on codeplex|an option
the serviceloader|another option
editpad pro|personal favorite
the details|clean code
username|the required fields
blank|all the fields
database|a good solution
case-sensitive|subversion
lowercase|all extensions
user-overridable|fields
directory|a matter
an alias|gci
the only major differences|a few syntax difference
language|the final part
maven|build over ant task
ambiguous|compilerglobalscopeattribute '
ambiguous|arraylist '
ambiguous|eventargs '
ambiguous|eventargs '
ambiguous|array '
the only downsides|the occasional bug
"configsource=""local.config"|a config section
approaches|phonetic transcription
nuance|the biggest player
build process|a bunch of homegrown perl scripts
a makefile|build system
fxcop|a good tool
the default route|a simple controller
subversion|a great solution
an alias|gci
teams/projects/roles|a good use of 's time
the letter|a waste of time
two points|the reality
cruisecontrol|staples
fxcop|the right answer
the app|an adp
metalscroll|a better alternative
vs express editions|an excellent route
input|a reserved variable
procedures|a good form
sql in code|pain
arguably|photos demo
a key factor in imo|unit test coverage
usability|a major criteria
likelihood|numerical values
less than 15|the number
more maintainable|procedures
a sender|an object
a receiver|an object
stdarg|part
app|an advantage
tortoise|a great combination
games in javascript|adobe air
more maintainable|procedures stored procedures
storedprocs|a bad
interfaces|a bit
the python version|way
the ssrs server|a 64bit 2003 server with 32 gigs
a weak-point|general
sample app|great resources
the application|a trading system
self-sustaining|csla objects
theses|some areas
a managed wrapper around gdi|system.drawing
all selects|queries
maven|a joy
dia|a possible choice
srp|a software engineering principle
the pertinent registry key|default
imho|a good choice
rules|laws
labels|the wrong approach
efficiency|a priority foreach loop
development|asp.net stuff
the only real value|the methodology plugins like conchango ' s
somehandler|a weak event handler
typical sub-divided|subversion repositories
flyweight|a ridiculous pattern
os versions|a bit
matters|the fact
air|a desktop platform
out|xcode
vs|a better ide
a subset|the client profile
the same binaries|client profile
projects|assemblies
vs 2005|last experience
the product|part
realvnc e4.x|vnc server
the debugger|a great feature
vs without nunit|like chocolate cake without icing
the form|an instance
the class browser|reflector reflector
labeled breaks/continues|a total
foundations of wf|a good book
java|a bit
documentation|fact wikis
a useful snippets plugin|snippetsemu
questions|an indication 's
another good option|lxml 's validation
fully-functional|2008 3-month trial editions
customdata|case
font|a lot
super-easy|the logic
ones|the easiest way
a no-no|goto
the iinterceptor|the recommended way
steven murawski 's comment about cc.net|an interesting one
pretty liberal|python
one big block|a bit
last release|4 years
clearcase multisite|way
meaningless|concatenation vs. interpolation
a branch|a copy
a pile of crap|data design
a branch|a way
snapshots|the tags
non-trivial|basic data types
parallel software development in figure|a tag
general interface|a separate company
font-face in css2|the best standard alternative
starteam|another option with integration
a codename|the linq project
another interesting find|the presence of assemblies
general answer|a series of regular expressions
the arrays|the same size
biggest typographical frustrations about html|the way
the following|an example
book|a good place
shouldiremovethis|a method
likely an addressee|number
caching|a security precaution
a lambda|a type of function
lambdas|a way
course|a work
dtds|older standards
caching|a security precaution
a security pre-caution|caching on disk
rails|a pain
collection of objects|way
default functionality|i think
link|a great site
object|a key
tag|a branch
1234|a revision
1234-1|a transaction
answer over at msdn forums|the default behavior
findfirstchangenotification|a bit
slower than without optimizer|scripts
alt text link|the duration
ways|algebraic data types
multiple repositories|a snap
the java.util.concurrent.atomic subpackage|interesting example
apache commons-vfs|a nice abstraction on top of jsch
microsoft script editor|a an option
a free plug-in|ankhsvn
the xunit family|the mainstay of unit testing
testable code|a fantastic resource
ultimate software product|an assembly
sub-optimal|subversion
nunit|a good tool
abit|employer
freeware|features in xmlpad
vim|a nice upgrade
rails support|a plus
radrails|less
a godsend|textmate
hibernate|pain points
downloaded|the product
ilist|the interface
list|the only implementation
kdevelop|a kde project
anjuta|an equivalent project on gnome
such a great dev platform :)|linux
uac|a path
foreach|the function
anjuta|a nice idea
cached by browsers|the images
a generalist|a good position in programming
system design|the bare minimum stuff
access control|a tricky situation
language|a factor
shell scripts|the perfect language
gl_arb_multitexture|the first arb extension
opengl extensions|new features
username:passwordhash|file
method|a bit
delta|a fancy word
ack|one more recommendation
windows support|a weak point
hg|a valid alternative
browsers|a bit
mozilla rhino|a good solution
server-side js|a good idea
controls|the way
uac elevated|a path
chris pederick 's web developer toolbar|firefox
an interface|a contract
several million lines|text
abstract classes|the way
the following|a few ticks
an interface|a contract
the initial delay in startup|likely the initialisation of console stream
a char(20|the column
pretty noticeable ie laptops|low memory systems
a quad core 2.6 ghz|work machine
xp|a dog
a minimalistic subversion browser|visualsvn server
an absolute doddle|vpc in vista
perhaps|javascript
chuckle|a reserved word
squirrel|a nice database agonstic application development client
a hash|a good idea
recommendable/not|cases
file|an error
null pointer|a bug
an http proxy|charles
usual time|the main problem . . .
the important number|the metric value
a controlproxy|a representation
costs|the operative word
kind of information exchange between processes|inter-process communication
the whole package of components|a better deal
printf_format_placeholders|wikipedia 's reference
2.0|the fact
the ram|the major advantage
programs|availiable in 64 bit versions
openssh|a contender
the property table|a basic keyword/value type table
the database publishing wizard|a great little tool
val cassidy|the persons name
ruby on rails applications database.yml|a plain text file
a good resource on scrum|steve mcconnell
prince2|a great method
smm|native 16-bit modes
attach gdb|the end
better/faster/more|one
pretty sure a direct cast|the fastest way
dunit|a xunit type of unit testing framework
instantiate|the only way
asp.net web applications|an ambiguous point
linux|rs232 serial port code
filemon|a free stand
tail|the best answer
open source license|a good idea
open source|a good idea
a dropdownlist|field
bad data|a good
foreign key relationships|only constraints
the biggest problems with uml|the amount of work
rational rose|a good example
a non-issue|the performance cost
implementations|the way
used ones|state diagrams
data|an artifact
both parts|syncronised at build time
the dal|form
integrity|a sure fire way
a command-line utility|a terrible way
unnecessary overhead at runtime|the ui
the result|a user interface
the user interface|the program
tips|cargo cult idols
unrelated|problem
the end result|a scriptable tool
an app|the result
2081 whereas|81
sieve of eratosthenes|the way
the instage1 = 1|a simplification
function|the return value
istool|a nice gui tool
a map|an associative container
oracle experience|a bit
a map|an associative container
ml|all languages
part of tool|another application
tree.hh|a bit
indiscutably|version
a single additional line of ddl|a constraint
the dual licence|a tidy way
the base one|the way
effective cplusplus by scott meyers|a great book
audio analysis|a difficult
effective cplusplus by scott meyers|a great book
cocoa|the primary framework
ucm solution|company
serializable|all future child classes
data binding|a bad idea
delete cascade|the perfect example
the application|performance critic
http status code|an error code
python|a high level language
data binding|a bad idea
boost|a provider
studio|ankhsvn link
visual cplusplus|a pure c/ cplusplus compiler
a no-brainer|python
tr1/tr2|threads
security-patched|sure http server
okay|powershell
one|a wrapper
the line|original answer
perhaps|generated class
1000,00|the format
web parts|a layer
data type|the amount
an internal web app|application
odds|good w/ java
a cli|two different interfaces
like base 64|a popular choice
because version|tail recursive
django|direction
parts-of-the-submodules|a direct child
fact ajax|a cleaning agent
project darkstar|a framework
kind of|a much different problem
user profile|a few seconds out of date
a variant|an object
part|an empty string
rows|the only way
drag-and-drop|the nxt 's programming language
user profile|a few seconds out of date
a free certificate|a better idea
python|a good alternative
ripper password cracker|a great way
the|the way
read uncommitted|a slippery slope
ruby|a bit
experience|a bad choice
mind|a firehose stream
microsoft sql server profiler|a graphical user interface
memory|an issue
the definitive guide|a series of books
primitive graphics|a trivial task
an attribute|a class
critical|threshold
projects|all loading
javascript profiler|a decent tool
json|a pretty standard way
see|simplejson in python
stack/queue in js|a simple array
time|the easiest place
attributes|a kind of meta data
a compromise|interfaces
less useful/meaningful|interfaces
each object|a class
an abomination|cplusplus /cli
fast enough|the performance
the point about multiple-interface implementation|a sound
sessionstatemodule.polllockedsessioncallback|part
anathema|a strong waterfall process
downloaded|the one the author
textmate|'s favourite
aop|an interesting programming paradigm
each bundle|a maven module
atom atom|an official internet standards track protocol
deployments|visual studio
the same link stu|1997617
the class foo|a different object
larger|data
a 15|first number
uml|a great tool
carbon emacs|a good emacs application
steam|a model checker
base64|a good solution
all working|the proxies
a bottleneck|memory
platform|a mobile phone
speed|an issue
structures|the foundation
trees|core data structures
meaningful code diagrams|a necessary skill
current best idea|use vmware converter
127.0.0.1|loopback address
documentation|moderation
krishnamurthy|one example
javascript since action script|a variation
design experience|an investment
the silverlight designer tools|half
more reasons flex|a good direction
flex/air|a new programing model
the id|the best practice
some reasons silverlight|a good direction
silverlight|a new model
deep zoom|one example
boost.threads|a great cplusplus concurrency library
band-aids|database transaction isolation levels
an orm|sql
ulps|a direct measure
class definition|one way
the microsoft component|an extension layer
each chapter|an object
the keys|the unique values
kdc_err_preauth_required|code 0x19
multisampling|a way
a virtual base class|a class
application|high availability sending e-mail
e-mail|a large part
base exception class|a bit
ack .|gvim
if math|an interface
gist gin indexes|two-to-three times larger than gist
qa'ed|dev
test|uat'ed after test passes
maybe-kind-of-not-really|the answer
a paid|a php implementation link one
bad unless|generic exceptions
rt|the standard recommendation
the source|a marker
openid|a nice idea
field|a good
orm|a great way
a standalone command-line executable|robocopy
the page title|a top level
the navigation|a table of contents
json|javascript object notation
as3corelib|a good place
asp.net|an issue
ptys8|a pseudo terminal pair
the pair ttys8|p.
organised|nodes
the apache binaries|hard coding
microsoft 's seadragon|answer
a two-byte encoding|states unicode
a user control|a piece of server logic
the most non-scalable|aspx/ascx file
kilim|a library
the results|an object
application|a complete hack
the only possible solution|a hack
database|bad form
parallelizable|the sharing of data between routines
an ldap schema|rootdse
many tools|a pain
strongly-named|assemblies
puzzle|a batch operation feature
less than ideal|the workarounds
sources|way
trademarked|places in scifi
vowels|a pretty good way
the only native data structure in php|array
the way oneliners|semantic web
forms|the easiest way
jquery|library of choice
dive into python|a good beginners
databound|drop down 2
db2|a com component
a macbook|main mac
seconds|a float
matthew macdonald 's|beginning
4guysfromrolla|favorite sources of information online
san with failover|a great solution
simple shared filesystem|the lack of redundancy
uploaded|a file
sorry|a long description
uframe|a lot
interface|application
easy . . .|the rest
urllib|a simpler module
color|an orange
color|grass
the query profiler|part
answer|4 years
gdi|a good bolt-on solution
loop|a better choice
maintainability|main objections
regular expressions|an essential tool
patrick lozzi|a great way
more maintainable|stored procedures
a no-brainer|stored procedures
a non-starter|better option
a bunch of search criteria|a pain
recompile|a lazy excuse
recompile|a lazy excuse
phrases|names
a knack|testing right
link|a list
kind of create|the spec
visio|another tool
laziest|the ones programmers
classified|licenses
django|a bit
a hypercube|the structure
sajax|another good toolkit with php support
sicp|a great book
a rails app|app--it
app_main.obj|part
memory location|a set of bits
shadowing|another variable
functional programming|a programming paradigm
the result|a product
subversion|a great choice
a cross-browser|try link wrapper
the custom element|an implementation
50kb of code overhead|the real problem
rar|the problem
flashplayer.exe '|a stand
visual foxpro|program
xml/swf|a wonderful tool
network/server closet|a spaghetti-mess of wires
recursion|a classic example
ruby on rails|the current flavour
* tek-tips vfp forum|another support group
a hash|a good way
assemblies|part
sptimer service|a separate process
ou|an organizational unit
stack overflow|a good example of writing lots of custom code
the weights|the days in transit
microsoft reporting services|an alternative
a web service operation|part
soapui|an awesome tool
relationships|a pain
a huge plus|enterprise applications
the first part|application
company|windows admins
situations|procedural programming
unit testing|a great development practice
approproiate|helper object
corresponding fibonacci number|the value
deprectated|the fact jet
half-hearted|effort
a map|a bit
web-applications|a bit
the second block|the fibonacci sequence
db design skills|an major requirement
markdown|a play on words
markup|a generic term
markdown|a specific markup library
function|the better alternative
testing|a mix between tiny
mark-up|a term from print editing
more detail see|lecture
expensive msdn subscription|the only way
arrays|darn fast
captionless|the button
an ide|unix
ide in linux|the command line
the shell|command interface
a web developer|input validation
writing unit tests|a great way
clear disk io|the main issue
larger|xx
automated|schema changes
sql|a set
attributes|the same
team reviews|an inherent part of writing code
reasoning about code|a better team
apress 's pro csharp|an excellent book
csharp over object pascal|the syntax
the average developer|an oop expert
oop|a good trade-off between extremes
c|a non-functional programming language
a free cross-platform|ftgl
clear-cut|the benefits
the vbulletin database schema|good one
bits of code|a technique
c|a non-functional language
c|a procedural language
functional language|the concept of first-class functions
the first fundamental tenet of oop|the notion of information hiding
the first fundamental tenet of oop|the notion of information hiding
the handshake|the hardest part
right|a beautiful
a good ide|komodo from activestate
modeled after ocaml|fsharp
contracts|a great approach
castle monorail|mature option
avaliable|the php source
okay|goto
whiz|a database diff utility
instantiated|daos
daos|classes
one property|a car
personal favorite|the passive view
another pain|activation
string-based|an ugly soda query
libavcodec|a performance-sensitive piece of code
visualsvn|the way
a variable-width font|a fools game
pages on keithdevens.com|a long list of programming fonts
source safe|a lot
a customizable|tinymce
information hiding|the principle users
mvc|soooo kick ass
chapters|methods of course
time|an easy way
data|the easy part
link|a great place
dynamic vars|things change
added/edited/deleted|comment
recached|page
bsd|a monolithic kernel
memcache|dead simple
sharding|a technique
heavier|cache
svn|the idea
tapestry|a great product
the usual manifestation of concept|keywords in oo languages
the code|classic asp style
a browsable|link
encapsulation|complementary concepts
implementation details|an important step
an awesome tutorial|firefox extensions
community section|the official discussion boards
moma|a great tool
days|applications
ajax|the way
project|the default
the action pack|fantastic value
malformed|the number of requests
a vt|a local var
class|a member
vt variables|the instances
studio.net 2005 with firefox|loads slower
book|a bit
norvig|the best place
nunit|the way
element in array if element|another array
each component|an integer between 0
yellow|a mix
